Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2024-06-20,448.6629638671875,450.6162169829814,444.5482211796194,447.22527904163593,3006800
2024-06-21,450.9830627441406,451.42921887861405,446.4320886237287,448.3456733138859,5007800
2024-06-24,453.07513427734375,459.1332056886562,451.06239358513545,451.06239358513545,2597100
2024-06-25,451.7762145996094,456.3966005157483,449.94193661074075,454.58217185897075,2299400
2024-06-26,448.5340881347656,450.81452254014476,447.5525143201742,448.9009377318096,2451400
2024-06-27,438.9859313964844,444.8853591785828,438.24230757141976,444.7564595409373,3313800
2024-06-28,437.4094543457031,444.48873745566567,434.9901957374021,440.8598798013451,4105000
2024-07-01,433.8896484375,438.70834693033265,431.8471639275492,437.0525311050529,3149700
2024-07-02,440.8697814941406,440.97886205830275,431.3018274652167,431.3018274652167,2061300
2024-07-03,444.3697509765625,445.4703299479823,440.50291322183796,441.5340800424746,3192400
2024-07-05,445.66864013671875,446.1247512213723,440.50294155086624,443.3088689233738,2220700
2024-07-08,442.4462585449219,446.7791019291369,441.2168101498031,445.46042230451417,1802700
2024-07-09,441.5724792480469,444.43219902704095,439.6759084603271,443.50874690144025,1608400
2024-07-10,430.5902404785156,434.3337152990171,426.03249511200124,431.5533894135933,4760900
2024-07-11,433.3506774902344,434.69115871648813,427.08502775452564,428.9617499559984,4032600
2024-07-12,437.0147399902344,439.11985571672636,434.24438357302165,434.32380760847826,2645600
2024-07-15,440.87738037109375,441.27456113966684,435.65436387065427,437.23317788022376,1727700
2024-07-16,440.41070556640625,444.01518106084615,436.60765482971703,443.79672708230584,2846600
2024-07-17,447.9870300292969,448.34448363154775,438.95102356934564,439.2886287391216,2925000
2024-07-18,445.564208984375,452.2270098999582,444.33293944786084,445.59399678596964,3339900
2024-07-19,440.569580078125,448.0664696479604,440.45042887323007,448.04662121479504,2121700
2024-07-22,444.7896423339844,445.6932459442585,440.1326246595438,442.27743702520297,2111700
2024-07-23,438.6134338378906,445.58405205368757,438.0077081421558,444.89890232230715,2385500
2024-07-24,429.40863037109375,432.7946214828118,425.84385184990765,430.94771724005653,3764800
2024-07-25,426.57867431640625,434.6217139265126,426.53894714738476,430.8881479152249,2384300
2024-07-26,435.09832763671875,437.6800482227656,429.0710099141947,429.2398276587733,2039600
2024-07-29,438.19635009765625,439.8049821843446,432.3577292574439,435.71393245535603,2248600
2024-07-30,444.3031311035156,445.5741277510409,439.89435485364197,440.6489892267989,2266900
2024-07-31,460.4487609863281,470.6664008309658,454.3221710084551,458.75079574663755,4313600
2024-08-01,459.15789794921875,464.2120966053163,455.96054283107054,462.18643533530354,2590100
2024-08-02,458.7706298828125,463.46737498291714,455.3846085738463,456.9833012970417,3808100
2024-08-05,438.89141845703125,458.0556696304689,436.4983643263755,451.7999895881204,4496700
2024-08-06,445.1471252441406,452.24686403515574,439.0006566582019,440.10286586314953,2758900
2024-08-07,446.67633056640625,453.70655482344057,445.88196898279824,447.3614803110228,2059800
2024-08-08,452.37591552734375,453.0610652164154,447.85792756881,449.0594092150728,1585400
2024-08-09,453.5675048828125,455.5732874899107,450.27084688057334,452.3759322569825,1760200
2024-08-12,452.48516845703125,455.235676343446,450.69783984468853,454.5505266380262,1760000
2024-08-13,456.1293640136719,456.40742389951725,451.69083005556985,454.9179732119549,1816100
2024-08-14,456.9237365722656,457.3010689122964,452.8625048389485,456.03007225811143,1654100
2024-08-15,465.41357421875,465.70154314603286,460.7367079312564,461.82897773909707,2130500
2024-08-16,465.5823974609375,466.9526968449094,462.7623746619148,464.70858160432067,1921900
